Order id,Tracking number,Carrier,Label Created Date,Delivered date,Events,Warehouse
3870164654695,9400111107984517245458,USPS,19-01-2022 21:12,24-01-2022 20:47,"Status: delivered: Description: January 24 3:47 pm Delivered, In/At Mailbox in SCOTTSDALE, AZ, date: 24-01-2022 20:47",Hardway Warehouse
2870138527742,9400111107984517295156,USPS,19-01-2022 21:13,24-01-2022 16:36,"Status: delivered: Description: January 24 11:36 am Delivered, In/At Mailbox in OCEANSIDE, CA, date: 24-01-2022 16:36",Hardway Warehouse
3870163932053,9400111107984517351197,USPS,19-01-2022 21:08,24-01-2022 16:48,"Status: delivered: Description: January 24 11:48 am Delivered, In/At Mailbox in DENVER, CO, date: 24-01-2022 16:48",Hardway Warehouse
3870177337953,9400111107984517505125,USPS,19-01-2022 21:24,21-01-2022 20:32,"Status: delivered: Description: January 21 3:32 pm Delivered, In/At Mailbox in EAU CLAIRE, WI, date: 21-01-2022 20:32",Hardway Warehouse
3870188886576,9400111107984517514134,USPS,19-01-2022 21:18,22-01-2022 15:31,"Status: delivered: Description: January 22 10:31 am Delivered, Parcel Locker in DULUTH, MN, date: 22-01-2022 15:31",Hardway Warehouse
3870171915213,9400111107984517798114,USPS,19-01-2022 21:28,24-01-2022 20:37,"Status: delivered: Description: January 24 3:37 pm Delivered, In/At Mailbox in SAHUARITA, AZ, date: 24-01-2022 20:37",Hardway Warehouse
3870175555644,9400111107984517852151,USPS,19-01-2022 20:59,,"Status: in_transit: Description: January 26 5:25 am Departed USPS Regional Facility in OAKLAND CA DISTRIBUTION CENTER, date: 26-01-2022 10:25",Hardway Warehouse
3870189344027,9400111107984517881557,USPS,19-01-2022 21:01,24-01-2022 21:47,"Status: delivered: Description: January 24 4:47 pm Delivered, In/At Mailbox in ARLINGTON, TX, date: 24-01-2022 21:47",Hardway Warehouse
3870187934421,9400111107984518400511,USPS,19-01-2022 22:58,22-01-2022 14:38,"Status: delivered: Description: January 22 9:38 am Delivered, Garage or Other Location at Address in PHILADELPHIA, PA, date: 22-01-2022 14:38",iFulfill Warehouse
3870164848947,9400111107984518451964,USPS,19-01-2022 22:56,22-01-2022 16:19,"Status: delivered: Description: January 22 11:19 am Delivered, In/At Mailbox in SYRACUSE, NY, date: 22-01-2022 16:19",iFulfill Warehouse
3870164719559,9400111107984518612976,USPS,19-01-2022 23:00,22-01-2022 20:13,"Status: delivered: Description: January 22 3:13 pm Delivered, In/At Mailbox in SOUTH WEYMOUTH, MA, date: 22-01-2022 20:13",iFulfill Warehouse
2870137637882,9400111107984518655638,USPS,19-01-2022 23:04,22-01-2022 20:08,"Status: delivered: Description: January 22 3:08 pm Delivered, In/At Mailbox in FLUSHING, NY, date: 22-01-2022 20:08",iFulfill Warehouse
3870175587057,9400111107984518699588,USPS,19-01-2022 23:02,25-01-2022 17:01,"Status: delivered: Description: January 25 12:01 pm Delivered, In/At Mailbox in KISSIMMEE, FL, date: 25-01-2022 17:01",iFulfill Warehouse
3870165449260,9400111107984518930193,USPS,19-01-2022 23:08,24-01-2022 18:10,"Status: delivered: Description: January 24 1:10 pm Delivered, In/At Mailbox in WEST NEW YORK, NJ, date: 24-01-2022 18:10",iFulfill Warehouse
7863624749281,9400111107984520712572,USPS,08-01-2022 00:32,21-01-2022 23:20,"Status: delivered: Description: January 21 6:20 pm Delivered, In/At Mailbox in ALLEN, TX, date: 21-01-2022 23:20",Hardway Warehouse
7863600455105,9400111107984520724407,USPS,08-01-2022 00:35,18-01-2022 15:46,"Status: delivered: Description: January 18 10:46 am Delivered, In/At Mailbox in DEWEESE, NE, date: 18-01-2022 15:46",Hardway Warehouse
7863620306194,9400111107984520754893,USPS,08-01-2022 00:36,18-01-2022 22:14,"Status: delivered: Description: January 18 5:14 pm Delivered, In/At Mailbox in TALLAHASSEE, FL, date: 18-01-2022 22:14",Hardway Warehouse
8870039523777,9400111107984526057455,USPS,08-01-2022 01:26,13-01-2022 16:56,"Status: delivered: Description: January 13 11:56 am Delivered, Front Door/Porch in LAKELAND, FL, date: 13-01-2022 16:56",iFulfill Warehouse
8863652715877,9400111107984526071291,USPS,08-01-2022 01:23,12-01-2022 22:10,"Status: delivered: Description: January 12 5:10 pm Delivered, In/At Mailbox in SACRAMENTO, CA, date: 12-01-2022 22:10",iFulfill Warehouse
8870039899010,9400111107984527130836,USPS,07-01-2022 21:55,12-01-2022 18:12,"Status: delivered: Description: January 12 1:12 pm Delivered, In/At Mailbox in PALO ALTO, CA, date: 12-01-2022 18:12",iFulfill Warehouse
7863635496805,9400111107984527146110,USPS,07-01-2022 21:57,19-01-2022 16:42,"Status: delivered: Description: January 19 11:42 am Delivered, In/At Mailbox in PROTEM, MO, date: 19-01-2022 16:42",Hardway Warehouse
8870028246776,9400111107984527180565,USPS,07-01-2022 22:01,13-01-2022 16:44,"Status: delivered: Description: January 13 11:44 am Delivered, In/At Mailbox in MOORESVILLE, NC, date: 13-01-2022 16:44",iFulfill Warehouse
9870042151097,9400111107984527434262,USPS,07-01-2022 22:02,12-01-2022 17:03,"Status: delivered: Description: January 12 12:03 pm Delivered, In/At Mailbox in WEST CHICAGO, IL, date: 12-01-2022 17:03",iFulfill Warehouse
7863611606187,9400111107984527562637,USPS,07-01-2022 21:45,18-01-2022 21:19,"Status: delivered: Description: January 18 4:19 pm Delivered, In/At Mailbox in HOUSTON, TX, date: 18-01-2022 21:19",Hardway Warehouse
7863635724500,9400111107984527735550,USPS,07-01-2022 21:48,18-01-2022 21:37,"Status: delivered: Description: January 18 4:37 pm Delivered, In/At Mailbox in KINGSTON, GA, date: 18-01-2022 21:37",Hardway Warehouse
8863664386784,9400111107984527749397,USPS,07-01-2022 21:49,12-01-2022 19:53,"Status: delivered: Description: January 12 2:53 pm Delivered, In/At Mailbox in CHICAGO, IL, date: 12-01-2022 19:53",iFulfill Warehouse
9870030598316,9400111107984528219332,USPS,07-01-2022 22:47,12-01-2022 20:44,"Status: delivered: Description: January 12 3:44 pm Delivered, In/At Mailbox in BEDFORD, TX, date: 12-01-2022 20:44",iFulfill Warehouse
